Last Name,First Name,2016,2018,2020,2022,2025
Handley,Scott,X,X,X,X,X
Matschiner,Michael,X,X,X,X,X
Salzburger,Walter,X,X,X,X,X
Stefka,Jan,X,X,X,X,X
Trucchi,Emiliano,X,X,X,X,X
Barth,Julia,X,X,X,X,X
Meyer,Britta,X,X,X,X,
Buerkle,Alex,X,,X,,
Fumagalli,Matteo,X,,,X,
Gaggiotti,Oscar,X,,,,
Gutenkurst,Ryan,X,,,,
Orlando,Ludovic,X,X,X,,
Drummond,Alexei,X,,,,
Berner,Daniel,X,,,,
Jones,Felicity,X,,,,
Falush,Daniel,X,X,X,,
Jiggins,Chris,X,X,,X,
Martin,Simon,X,X,X,,
Malinsky,Milan,,X,X,X,X
Swofford,David,,X,,,
Durbin,Richard,,X,X,,
Vaughan,Tim,,X,,,
Albrechtsen,Anders,,X,,,
Sousa,Vitor,,X,X,X,X
Bank,Claudia,,X,,,
Hancock,Angela,,X,,,
Ogilvie,Huw,,X,,,
Harris,Kelley,,X,X,,
Dudaniec,Rachael,,,X,,
Nosil,Patrik,,,X,,
Speidel,Leo,,,X,X,
Myers,Simon,,,X,X,
Knowles,Lacey,,,X,,
Nordberg,Magnus,,,X,,
Fillault,Daniel,,,X,,
Neilsen,Rasmus,,,,X,
Korneliussen,Thorfinn,,,,X,
Hahn,Matthew,,,,X,X
Moyle,Leonie,,,,X,
Setter,Derek,,,,X,
Clauw,Pieter,,,,X,
Suh,Alexander,,,,X,X
Jay,Flora,,,,X,
Rees,Jasmine,,,,X,
Tsambos,Georgia,,,,X,X
Mafessoni,Fabrizio,,,,X,
Peona,Velentina,,,,,X
Leonard,Alexander,,,,,X
Kern,Andrew,,,,,X
Meier,Joana,,,,,X
Peichel,Katie,,,,,X
Bohutinska,Magdalena,,,,,X
Petr,Martin,,,,,X
Hofreiter,Michael,,,,,X
Westbury,Michael,,,,,X